id,fullName,points(2020-2021),average(2018-2021)
8474574,Tyler Myers,21,24.333333333333332
8474612,Travis Hamonic,10,13.666666666666666
8475171,Oliver Ekman-Larsson,24,20.666666666666668
8476779,Brad Hunt,1,8.333333333333334
8477335,Kyle Burroughs,4,4.333333333333333
8477359,Tucker Poolman,1,14.0
8477474,Madison Bowey,0,0.6666666666666666
8478465,Guillaume Brisebois,2,1.0
8478855,Devante Stephens,6,6.0
8479355,Olli Juolevi,3,13.666666666666666
8480056,Jack Rathbone,9,14.333333333333334
8480808,Jett Woo,5,39.0
8481442,Brady Keeper,3,7.0
8474031,Kevin Shattenkirk,15,25.666666666666668
8475764,Cam Fowler,23,25.0
8476312,Josh Manson,7,10.666666666666666
8476854,Hampus Lindholm,6,19.0
8476953,Trevor Carrick,12,11.666666666666666
8478212,Kodie Curran,13,20.666666666666668
8478425,Brendan Guhle,12,11.333333333333334
8478491,Jacob Larsson,2,3.6666666666666665
8479372,Josh Mahura,20,15.0
8481003,Hunter Drew,12,11.666666666666666
8481018,Axel Andersson,5,6.333333333333333
8481479,Brogan Rafferty,1,23.333333333333332
8482142,Jamie Drysdale,10,6.666666666666667
8482803,Olen Zellweger,8,7.666666666666667
8482695,Artem Grushnikov,3,1.6666666666666667
8482732,Jacob Holmes,1,9.0
8470600,Ryan Suter,19,24.0
8471284,Andrej Sekera,5,6.333333333333333
8475755,Alexander Petrovic,12,11.0
8475825,Jani Hakanpaa,3,5.666666666666667
8475906,John Klingberg,36,24.0
8476902,Esa Lindell,16,23.666666666666668
8477810,Joel Hanley,8,6.666666666666667
8478854,Ryan Shea,6,12.666666666666666
8478863,Joseph Cecconi,8,5.0
8479416,Ben Gleason,17,21.333333333333332
8480036,Miro Heiskanen,27,31.666666666666668
8480158,Andreas Borgman,5,6.666666666666667
8480999,Dawson Barteaux,2,14.666666666666666
8481581,Thomas Harley,25,27.666666666666668
8482051,Jerad Rosburg,7,8.666666666666666
8471303,Alexander Edler,8,25.0
8474563,Drew Doughty,34,38.0
8476874,Olli Maatta,4,11.666666666666666
8478846,Christian Wolanin,0,1.3333333333333333
8478911,Matt Roy,1,9.666666666666666
8479998,Mikey Anderson,11,9.0
8480336,Sean Walker,0,14.0
8481600,Tobias Bjornfot,0,1.6666666666666667
8481606,Jordan Spence,1,13.666666666666666
8482169,Helge Grans,12,5.0
8482730,Brandt Clarke,15,9.333333333333334
8470613,Brent Burns,29,52.333333333333336
8471709,Marc-Edouard Vlasic,6,15.333333333333334
8474578,Erik Karlsson,22,35.666666666666664
8477034,Jaycob Megna,8,10.333333333333334
8478136,Jacob Middleton,7,4.333333333333333
8478467,Nicolas Meloche,9,5.666666666666667
8479983,Mario Ferraro,2,10.0
8480160,Radim Simek,6,5.666666666666667
8480847,Ryan Merkley,11,29.0
8481552,Artemi Kniazev,1,3.0
8481701,Santeri Hatakka,2,4.666666666666667
8481812,Nikolai Knyzhov,10,5.0
8482369,Brinson Pasichnuk,8,15.0
8478460,Zach Werenski,20,20.333333333333332
8476449,Scott Harrington,3,9.333333333333334
8478506,Gabriel Carlsson,4,5.333333333333333
8478567,Dean Kukan,5,4.0
8478882,Vladislav Gavrikov,1,10.333333333333334
